topic,evidence_1,evidence_2,evidence_1_stance,evidence_2_stance,evidence_1_detection_score,evidence_2_detection_score
We should end affirmative action,"In February 2007, Sarkozy appeared on a televised debate on TF1 where he expressed his support for affirmative action and the freedom to work overtime.","Williams believes programs such as affirmative action and minimum wage laws set up to aide minorities have, in fact, been harmful to them and stifled their ability to advance in society.",CON,PRO,0.3405173122882843,0.4699681103229522
We should subsidize condoms,"In 2009, Lewis strongly criticized Pope Benedict XVI's assertion that condom use only makes the AIDS crisis worse [REF].","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.",PRO,CON,0.9032952785491944,0.86146479845047
We should ban trans fats usage in food,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board [REF].,The government banning trans fat may have a positive top-down effect on the health of all individuals in that state or country.,CON,PRO,0.8794968128204346,0.8453442454338074
We should further exploit hydroelectric dams,"A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing [REF].",The Snake River Plain and smaller river basins provide Idaho with some of the best hydroelectric power resources in the nation and its geologically active mountain areas have significant geothermal power and wind power potential.,CON,PRO,0.8856885433197021,0.5710663199424744
We should prohibit corporal punishment,"As early as 1985 The New York Times stated that ""most child-care experts today disapprove of physical punishment.""[REF] .","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.",PRO,CON,0.6949782371520996,0.6661058664321899
We should ban partial birth abortions,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.",Brownback also supports parental notification for minors who seek an abortion and opposes Partial Birth Abortion [REF].,CON,PRO,0.6462774872779846,0.8140475153923035
We should fight illegal immigration,"Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants [REF].","In a CBS News/New York Times poll, 69% of Americans favor prosecuting and deporting illegal immigrants; 33% favor deporting those who have lived and worked in the U.S. for at least two years [REF].",CON,PRO,0.5056897401809692,0.6856749653816223
We should legalize polygamy,"Sarah Pratt ended her marriage to husband Orson Pratt in 1868 because of his ""obsession with marrying younger women""[REF] and condemned polygamy because: [polygamy] completely demoralizes good men and makes bad men correspondingly worse.","The autonomous regions of Somaliland and Puntland in northern Somalia also recognize polygamy, as does the country's Transitional Federal Government itself, since the country is governed by Sharia law.",CON,PRO,0.5620014071464539,0.5233713984489441
We should subsidize condoms,"Some senior Catholic authorities, such as Belgian Cardinal Emeritus Godfried Danneels, believe the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder [REF].","Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS.",PRO,CON,0.8853585124015808,0.8423066139221191
We should legalize cannabis,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make cannabis available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis [REF].,"In their commentary, NCPIC state: ""While modest use may not lead to significant neurotoxicity, these results corroborate similar findings within the animal literature and indicate that heavy daily cannabis use over protracted periods exerts harmful effects on brain tissue and mental health"" [REF].",PRO,CON,0.8740560412406921,0.7565760612487793
