topic,positive_evidence,negative_evidence_1,negative_evidence_2,negative_evidence_3,negative_evidence_4,negative_evidence_5
We should end affirmative action,"Williams believes programs such as affirmative action and minimum wage laws set up to aide minorities have, in fact, been harmful to them and stifled their ability to advance in society.","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .","In 1970, the federal Office for Civil Rights issued a memorandum which stated that school districts must take affirmative action to ensure that the native language of minority students did not inhibit their participation in the educational system.","Researchers found that a removal of affirmative action policies from all colleges and universities would result in a significant drop in minority presence in all institutions of higher education, upholding affirmative action's role in diversity in the American classroom.","As President of the Texas State Bar, Miers supported affirmative action, going so far as to continue a quota system for women and ethnic minorities practicing law in the state.","According to a poll taken by USA Today in 2005, most Americans support affirmative action for women; with minority groups, it is more split."
We should subsidize condoms,"In 2009, Lewis strongly criticized Pope Benedict XVI's assertion that condom use only makes the AIDS crisis worse.","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and actually makes the problem worse.","Harvard Director Edward Green concluded that the ""best studies"" show that more condoms promote the spread of AIDS.","In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS.","In his capacity as Director of Foreign Assistance, Tobias encouraged sexual abstinence, and discounted the use of condoms, in preventing HIV/AIDS."
We should ban trans fats usage in food,The government banning trans fat may have a positive top-down effect on the health of all individuals in that state or country.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.
We should further exploit hydroelectric dams,The Snake River Plain and smaller river basins provide Idaho with some of the best hydroelectric power resources in the nation and its geologically active mountain areas have significant geothermal power and wind power potential.,"A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing."
We should prohibit corporal punishment,"As early as 1985 The New York Times stated that ""most child-care experts today disapprove of physical punishment.""[REF] .","The UK Government responded that ""the use of physical punishment is a matter for individual parents to decide"".","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights.""","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.","George strongly believes in discipline and corporal punishment; his motto is ""it's discipline that begets love"".","On social issues, Harper argued for ""parental rights"" to use corporal punishment against their children and supported raising the age of sexual consent."
We should ban partial birth abortions,Brownback also supports parental notification for minors who seek an abortion and opposes Partial Birth Abortion.,"For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion.",NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion.,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba."
We should fight illegal immigration,"In a CBS News/New York Times poll, 69% of Americans favor prosecuting and deporting illegal immigrants; 33% favor deporting those who have lived and worked in the U.S. for at least two years.",A paper in the peer reviewed Tax Lawyer journal from the American Bar Association asserts that illegal immigrants contribute more in taxes than they cost in social services.,"Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants.","Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants.","Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants.","Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants."
We should legalize polygamy,"The autonomous regions of Somaliland and Puntland in northern Somalia also recognize polygamy, as does the country's Transitional Federal Government itself, since the country is governed by Sharia law.","In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a ""security threat"" and advocated various means of reducing the Arab birth rate.","Sarah Pratt, first wife of Mormon Apostle Orson Pratt, in an outspoken critique of Mormon polygamy said that [polygamy] completely demoralizes good men and makes bad men correspondingly worse.",Critics of polygamy in the early LDS Church claim that church leaders established the practice of polygamy in order to further their immoral desires for sexual gratification with multiple sexual partners.,"Sarah Pratt ended her marriage to husband Orson Pratt in 1868 because of his ""obsession with marrying younger women""[REF] and condemned polygamy because: [polygamy] completely demoralizes good men and makes bad men correspondingly worse.","In 1882, Congress passed the Edmunds Act, which made polygamy a felony and posed a serious threat to Utah's long-stalled bid for statehood."
We should subsidize condoms,"Some senior Catholic authorities, such as Belgian Cardinal Emeritus Godfried Danneels, believe the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder.","Alternatively, the Roman Catholic organization Human Life International says that ""condoms are adding to the problem, not solving it"" and that ""The government of Uganda believes its people have the human capacity to change their risky behaviors.""[REF] .","Hummes has publicly rebuked priests who have suggested that condoms be used to help prevent the spread of HIV/AIDS, instead sticking closely to orthodox Vatican doctrine.","Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS.","The Church maintains that countries like Kenya where behavioral changes like abstinence are endorsed instead of condom use, are experiencing greater progress towards controlling the disease than those countries just promoting condoms.","Armand Razafimahefa, former head of the Madagascar's Protestant Church, was quoted as saying: ""I am firmly opposed to the use of the condom as a means of fighting AIDS, because it promotes promiscuity.""[REF] ."
We should legalize cannabis,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make cannabis available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis.,"A 25 year longitudinal study of 1000 people concluded that ""regular or heavy cannabis use was associated with an increased risk of using other illicit drugs, abusing or becoming dependent upon other illicit drugs, and using a wider variety of other illicit drugs"".","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it.","A 2008 study suggested that long-term, heavy cannabis use (over five joints daily for more than ten years) are associated with structural abnormalities in the hippocampus and amygdala areas of the brain.","Citing more potent strains and increased ""cannabis-related health damage"", Mr. Costa proclaimed that ""the harmful characteristics of cannabis are no longer that different from those of other plant-based drugs such as cocaine and heroin.""[REF]","Cannabis has been correlated with the development of various mental disorders in multiple studies, for example a recent 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that cannabis use is a risk factor for the development of incident psychotic symptoms."
